State,Month,Positive,Negative,id
SD,Jun,6764,73324,46
SD,Jul,8764,102871,46
SD,Aug,13509,133020,46
SD,Sep,21541,165963,46
TN,Jan,0,0,47
TN,Feb,0,0,47
TN,Mar,2239,25121,47
TN,Apr,10735,166891,47
TN,May,23006,412971,47
TN,Jun,43509,749618,47
TN,Jul,105959,1407446,47
TN,Aug,154933,2046066,47
TN,Sep,192995,2639541,47
TX,Jan,0,0,48
TX,Feb,0,0,48
TX,Mar,3266,39726,48
TX,Apr,28087,302213,48
TX,May,64287,887578,48
TX,Jun,159986,1709296,48
TX,Jul,420946,3248806,48
TX,Aug,612969,4348584,48
TX,Sep,735132,5281775,48
UT,Jan,0,0,49
UT,Feb,0,0,49
UT,Mar,887,17626,49
UT,Apr,4672,103829,49
UT,May,9797,204117,49
UT,Jun,22217,318536,49
UT,Jul,40196,488714,49
UT,Aug,52107,607748,49
UT,Sep,70615,740634,49
VA,Jan,0,0,51
VA,Feb,0,0,51
VA,Mar,1250,12151,51
VA,Apr,15846,75663,51
VA,May,44607,270784,51
VA,Jun,62787,582247,51
VA,Jul,89888,1020859,51
VA,Aug,120594,1465957,51
VA,Sep,146144,1864395,51
VI,Jan,0,0,
VI,Feb,0,0,
VI,Mar,30,126,
VI,Apr,66,807,
VI,May,69,1633,
VI,Jun,84,2819,
VI,Jul,406,8775,
VI,Aug,1134,15100,
VI,Sep,1317,18843,
VT,Jan,0,0,50
VT,Feb,0,0,50
VT,Mar,320,3949,50
VT,Apr,879,14357,50
VT,May,981,32989,50
VT,Jun,1208,64556,50
VT,Jul,1414,92954,50
VT,Aug,1624,134097,50
VT,Sep,1742,159248,50
WA,Jan,0,0,53
WA,Feb,18,24,53
WA,Mar,6949,81463,53
WA,Apr,15619,203985,53
WA,May,22878,361004,53
WA,Jun,36442,643342,53
WA,Jul,59950,1036352,53
WA,Aug,74320,1387034,53
WA,Sep,85830,1734793,53
WI,Jan,0,0,55
WI,Feb,0,0,55
WI,Mar,1585,17375,55
WI,Apr,8052,69394,55
WI,May,20564,250103,55
WI,Jun,31662,539539,55
WI,Jul,56934,882149,55
WI,Aug,80568,1172854,55
WI,Sep,122478,1399218,55
WV,Jan,0,0,54
WV,Feb,0,0,54
WV,Mar,162,3981,54
WV,Apr,1118,43423,54
WV,May,2010,95612,54
WV,Jun,2905,168859,54
WV,Jul,6642,277346,54
WV,Aug,10250,425797,54
WV,Sep,15348,534375,54
WY,Jan,0,0,56
WY,Feb,0,0,56
WY,Mar,109,1999,56
WY,Apr,544,8902,56
WY,May,903,23490,56
WY,Jun,1487,32185,56
WY,Jul,2726,50573,56
WY,Aug,3842,72431,56
WY,Sep,5633,92406,56
